Record,Avg,CSN_0,CSN_1,CNS_2,ARP,DHCP,DNS,HTML,ICMP,TCP,UDP,Label
1,0.0961,29,23,0,0,0,33,0,4,15,0,bad
2,0.1191,22,20,0,0,0,32,0,4,6,0,bad
3,0.1004,26,22,0,0,0,31,0,5,12,0,bad
4,0.0086,30,28,0,0,0,32,0,7,19,0,bad
5,2.3399,2,0,0,0,0,0,0,0,2,0,bad
6,0.0963,28,24,0,0,0,33,0,4,15,0,bad
7,0.0999,27,23,0,0,0,32,0,4,14,0,bad
8,0.1163,22,21,0,0,0,32,0,4,7,0,bad
9,0.1042,26,22,0,0,0,32,0,4,12,0,bad
10,0.1191,22,20,0,0,0,32,0,4,6,0,bad
11,0.1041,26,22,0,0,0,32,0,4,12,0,bad
12,0.1191,22,20,0,0,0,32,0,4,6,0,bad
13,0.0306,25,23,0,0,0,31,0,4,12,0,bad
14,1.7624,1,1,0,0,0,1,0,0,0,0,bad
15,0.1192,22,20,0,0,0,32,0,4,6,0,bad
16,0.1042,26,22,0,0,0,32,0,4,12,0,bad
17,0.1147,22,20,0,0,0,31,0,5,6,0,bad
18,0.0087,32,29,0,0,0,32,0,7,22,0,bad
19,0.9299,4,1,0,0,0,1,0,0,4,0,bad
20,0.1087,24,22,0,0,0,32,0,4,10,0,bad
21,0.1112,24,21,0,0,0,32,0,4,9,0,bad
22,0.1042,26,22,0,0,0,32,0,4,12,0,bad
23,0.119,22,20,0,0,0,32,0,4,6,0,bad
24,0.1042,26,22,0,0,0,32,0,4,12,0,bad
25,0.1191,22,20,0,0,0,32,0,4,6,0,bad
26,0.1021,26,23,0,0,0,32,0,4,13,0,bad
27,0.1162,22,21,0,0,0,32,0,4,7,0,bad
28,0.1041,26,22,0,0,0,32,0,4,12,0,bad
29,0.1042,26,22,0,0,0,32,0,4,12,0,bad
30,0.1072,24,21,0,0,0,31,0,5,9,0,bad
31,0.0089,32,29,0,0,0,32,0,7,22,0,bad
32,0.9256,4,1,0,0,0,1,0,0,4,0,bad
33,0.1089,24,22,0,0,0,32,0,4,10,0,bad
34,0.0827,25,22,1,0,0,31,1,4,12,0,bad
35,1.025,1,0,0,0,0,1,0,0,0,0,bad
36,0.0947,21,20,1,0,0,31,1,4,6,0,bad
37,1.0237,1,0,0,0,0,1,0,0,0,0,bad
38,0.0812,25,23,1,0,0,31,1,4,13,0,bad
39,1.0233,1,0,0,0,0,1,0,0,0,0,bad
40,0.0947,21,20,1,0,0,31,1,4,6,0,bad
41,1.0204,1,0,0,0,0,1,0,0,0,0,bad
42,0.0884,23,21,1,0,0,31,1,4,9,0,bad
43,1.023,1,0,0,0,0,1,0,0,0,0,bad
44,0.0829,25,22,1,0,0,31,1,4,12,0,bad
45,1.0274,1,0,0,0,0,1,0,0,0,0,bad
46,0.0811,25,23,1,0,0,31,1,4,13,0,bad
47,1.0224,1,0,0,0,0,1,0,0,0,0,bad
48,16.4349,1,1,0,1,0,0,1,0,0,0,good
49,7.7825,1,0,0,0,0,0,1,0,0,0,good
50,3.8615,1,0,0,0,0,1,0,0,0,0,good
51,0.0313,9,9,0,0,0,18,0,0,0,0,good
52,2.1855,1,1,0,0,0,2,0,0,0,0,good
53,0.0103,15,10,8,2,0,11,2,0,23,0,good
54,1.605,1,0,0,0,0,0,0,0,0,0,good
55,0.0617,6,5,0,0,0,0,0,0,5,0,good
56,0.0034,91,71,8,0,0,4,0,0,72,0,good
57,0.3019,1,1,0,0,0,1,0,0,1,0,good
58,0.0126,19,9,6,0,0,7,0,0,23,0,good
59,0.0501,6,4,3,1,0,0,0,0,7,0,good
60,1.4361,1,1,0,1,0,0,0,0,1,0,good
61,0.0016,148,102,21,0,0,18,0,17,274,0,good
62,0.0011,207,107,82,0,0,16,0,50,380,0,good
63,0.001,241,142,43,0,0,25,0,68,423,0,good
64,0.0121,13,10,6,0,0,7,0,8,28,0,good
65,0.1246,3,2,0,0,0,0,0,2,3,0,good
66,0.0016,150,63,49,0,0,22,0,54,250,0,good
67,0.0056,52,8,6,0,0,16,0,19,55,0,good
68,0.0014,186,22,13,0,0,45,0,45,320,0,good
69,0.1689,3,2,1,0,0,1,0,0,6,0,good
70,0.6229,1,0,0,0,0,0,0,0,1,0,good
71,0.0084,37,13,3,0,0,4,0,14,48,0,good
72,0.007,44,6,5,0,0,3,0,22,47,0,good
73,0.0041,41,38,25,0,0,5,0,18,109,0,good
74,0.0016,130,22,16,0,0,8,0,26,276,0,good
75,0.0058,42,8,4,0,0,0,0,20,74,0,good
76,0.0027,95,41,17,0,0,10,0,22,161,0,good
77,0.0066,34,19,13,0,0,16,0,8,61,0,good
78,0.0681,9,3,2,0,0,0,0,1,14,0,good
79,0.0075,31,17,5,0,0,37,0,5,18,0,good
80,0.0114,22,22,0,0,0,44,0,0,0,0,good
81,0.0093,28,25,2,0,0,49,0,0,6,0,good
82,0.0176,19,18,0,0,0,36,0,0,1,0,good
83,0.0296,9,4,4,0,0,0,0,0,22,0,good
84,0.0249,9,4,2,0,0,0,0,2,19,0,good
85,0.2759,2,1,0,0,0,0,0,0,3,0,good
86,0.1261,2,1,1,0,0,0,0,0,4,0,good
87,0.1279,2,1,1,0,0,0,0,2,2,0,good
88,0.0536,5,4,1,0,0,8,0,0,2,0,good
89,1.0401,1,0,0,0,0,0,1,0,0,0,good
90,0.2418,2,2,1,0,0,0,0,0,2,0,good
91,0.1354,4,3,1,0,0,0,0,2,6,0,good
92,0.233,2,2,0,0,0,0,0,0,1,0,good
93,0.1274,3,1,0,0,0,0,0,0,1,0,good
94,0.0969,6,4,0,0,0,0,0,0,4,0,good
95,0.0555,4,4,3,0,0,0,0,0,8,0,good
96,0.166,3,3,0,0,0,0,0,0,2,0,good
97,0.0613,6,5,0,0,0,0,0,0,4,0,good
98,0.1198,3,2,0,0,0,0,0,0,2,0,good
99,0.146,2,2,0,0,0,0,0,0,1,0,good
100,0.0065,42,32,6,0,0,4,0,6,35,0,good
101,0.0102,43,27,0,0,0,0,0,0,26,0,good
102,0.0035,94,55,0,0,0,0,0,0,54,0,good
103,0.128,7,6,0,0,0,0,0,0,5,0,good
104,0.4799,2,2,0,0,0,0,0,0,2,0,good
105,0.2503,2,2,0,0,0,0,0,0,4,0,good
106,0.3507,2,1,0,0,0,0,0,1,2,0,good
107,0.0052,49,41,5,0,0,10,0,12,77,0,good
108,0.0028,57,53,37,0,0,4,0,15,114,0,good
109,0.0012,244,162,15,0,0,8,0,36,387,0,good
110,0.0014,110,104,89,0,0,4,0,67,333,0,good
111,0.002,243,159,24,0,0,1,0,9,432,0,good
112,0.0053,56,36,32,0,0,51,1,4,123,0,good
113,0.9495,1,1,0,0,0,0,1,1,0,0,good
114,0.2001,4,3,1,1,0,0,0,3,4,0,good
115,0.8796,1,1,0,1,0,0,0,0,1,0,good
116,0.9795,2,2,1,1,0,0,0,0,6,0,good
117,4.52,1,0,0,0,0,0,0,0,0,0,good
118,0.2503,2,2,0,0,0,0,0,0,2,0,good
119,0.4279,3,2,2,0,0,1,0,0,4,0,good
120,0.1307,3,2,2,0,0,5,3,0,0,0,good
121,0.2505,1,1,1,0,0,2,2,0,0,0,good
122,0.2025,1,1,1,0,0,2,1,0,1,0,good
123,0.0566,5,3,1,0,0,2,2,0,7,0,good
124,0.1904,2,1,0,0,0,0,1,0,2,0,good
125,0.0855,2,2,1,0,0,2,1,0,4,0,good
126,0.1009,3,1,1,0,0,2,2,0,3,0,good
127,0.1747,2,1,1,0,0,0,1,0,3,0,good
128,0.2504,1,1,1,0,0,2,2,0,0,0,good
129,0.0883,2,2,1,0,0,2,1,0,6,0,good
